"Time","Current_1","Current_2","Current_3","Current_4","Current_5","Ky_1","Ky_2","Ky_3","Ky_4","Ky_5"
20,23.645,24.777,23.776,23.809,24.453,14.78,14.379,13.5,13.315,14.242
30,23.626,24.736,23.747,23.91,24.465,14.457,14.3,13.53,13.414,14.215
40,23.064,24.779,23.751,23.892,24.482,14.54,14.344,13.532,13.408,14.211
50,23.599,24.758,23.543,23.869,24.488,14.45,14.351,13.26,13.376,14.197
60,23.563,24.724,23.589,23.876,24.493,14.449,14.374,13.326,13.439,14.185
70,23.57,24.715,23.762,23.828,24.479,14.439,14.34,13.567,13.418,14.17
80,23.614,24.719,23.711,23.821,24.463,14.427,14.334,13.533,13.425,14.176
90,23.607,24.653,23.729,23.825,24.456,14.425,14.338,13.557,13.374,14.169
100,23.61,24.665,23.777,23.815,24.416,14.425,14.331,13.624,13.376,14.17
110,23.056,24.649,23.82,23.809,24.359,14.511,14.319,13.677,13.357,14.166
120,23.046,24.649,23.858,23.852,24.451,14.506,14.31,13.728,13.427,14.16
130,23.582,24.646,23.836,23.865,24.437,14.426,14.298,13.717,13.452,14.154
140,23.585,24.63,23.831,23.851,24.417,14.422,14.301,13.7,13.441,14.15
150,23.587,24.632,23.824,23.842,24.428,14.42,14.288,13.7,13.426,14.148
160,23.594,24.648,23.809,23.827,24.431,14.417,14.286,13.697,13.399,14.145
170,23.589,24.657,23.83,23.814,24.425,14.424,14.273,13.707,13.393,14.146
180,23.589,24.651,23.811,23.795,24.416,14.417,14.259,13.704,13.375,14.141
190,23.583,24.641,23.82,23.763,24.402,14.423,14.261,13.711,13.366,14.139
200,23.584,24.602,23.821,23.757,24.418,14.415,14.16,13.714,13.351,14.144
210,23.586,24.631,23.815,23.764,24.416,14.42,14.249,13.705,13.341,14.141
220,23.581,24.625,23.801,23.765,24.413,14.418,14.238,13.707,13.335,14.136
230,23.056,24.616,23.802,23.732,24.405,14.495,14.244,13.71,13.293,14.137
240,23.554,24.623,23.79,23.724,24.388,14.415,14.231,13.715,13.291,14.134
250,23.575,24.59,23.817,23.734,24.411,14.412,14.216,13.721,13.31,14.134
260,23.575,24.599,23.816,23.759,24.406,14.416,14.201,13.714,13.34,14.139
270,23.576,24.591,23.806,23.772,24.4,14.417,14.197,13.726,13.366,14.131
280,23.57,24.562,23.812,23.785,24.392,14.413,14.184,13.728,13.383,14.13
290,23.573,24.526,23.832,23.766,24.411,14.418,14.173,13.723,13.399,14.135
300,23.569,24.571,23.814,23.79,24.397,14.416,14.174,13.73,13.397,14.136
310,23.572,24.57,23.804,23.787,24.397,14.414,14.171,13.73,13.397,14.13
320,23.568,24.57,23.798,23.792,24.383,14.416,14.161,13.729,13.404,14.127
330,23.565,24.562,23.803,23.777,24.39,14.419,14.149,13.737,13.4,14.125
340,23.569,24.554,23.798,23.791,24.388,14.413,14.137,13.729,13.392,14.132
350,23.565,24.544,23.804,23.774,24.391,14.415,14.136,13.723,13.385,14.134
360,23.564,24.536,23.787,23.769,24.388,14.42,14.154,13.727,13.378,14.127
370,23.558,24.538,23.796,23.772,24.376,14.413,14.15,13.726,13.379,14.132
380,23.558,24.548,23.794,23.757,24.381,14.417,14.153,13.727,13.371,14.129
390,23.559,24.54,23.803,23.758,24.384,14.414,14.143,13.731,13.369,14.127
400,23.561,24.54,23.795,23.753,24.382,14.414,14.131,13.734,13.368,14.128
410,23.559,24.535,23.785,23.752,24.381,14.418,14.135,13.726,13.367,14.13
420,23.549,24.531,23.782,23.718,24.355,14.414,14.132,13.722,13.374,14.128
430,23.552,24.533,23.787,23.676,24.349,14.415,14.125,13.722,13.352,14.122
440,23.558,24.519,23.787,23.725,24.376,14.414,14.132,13.726,13.342,14.127
450,23.561,24.518,23.79,23.724,24.377,14.41,14.125,13.729,13.335,14.12
460,23.556,24.52,23.775,23.703,24.362,14.413,14.13,13.723,13.303,14.125
470,23.548,24.515,23.779,23.657,24.37,14.419,14.121,13.724,13.331,14.121
480,23.552,24.5,23.782,23.662,24.365,14.416,14.114,13.722,13.351,14.128
490,23.552,24.501,23.783,23.698,24.374,14.415,14.108,13.721,13.351,14.122
500,23.554,24.499,23.783,23.733,24.365,14.42,14.106,13.721,13.362,14.124
510,23.55,24.499,23.772,23.742,24.358,14.417,14.099,13.725,13.371,14.123
520,23.542,24.49,23.78,23.727,24.339,14.417,14.092,13.734,13.37,14.122
530,23.543,24.479,23.774,23.726,24.357,14.413,14.088,13.725,13.366,14.118
540,23.549,24.485,23.782,23.724,24.362,14.419,14.09,13.726,13.354,14.117
550,23.544,24.482,23.78,23.72,24.344,14.414,14.08,13.728,13.344,14.118
560,23.546,24.473,23.774,23.716,24.329,14.417,14.077,13.72,13.34,14.17
570,23.535,24.47,23.772,23.701,24.352,14.416,14.064,13.729,13.342,14.17
580,23.544,24.458,23.78,23.694,24.355,14.423,14.058,13.73,13.33,14.115
590,23.541,24.457,23.772,23.696,24.356,14.419,14.05,13.723,13.326,14.117
600,23.544,24.451,23.773,23.692,24.343,14.42,14.04,13.727,13.32,14.116
